source_work_id,original_title,authors,edition_subtitles,edition_urls,canonical_document_id,decision,explanation
OL42393248W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,"[""DK Publishing""]",[],"[""https://openlibrary.org/books/OL57516171M.json""]",OL42393248W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42422593W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,"[""DK Publishing""]",[],"[""https://openlibrary.org/books/OL57562850M.json""]",OL42393248W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42428179W,DK Super Readers Pre-Level Marvel Spidey and His Amazing Friends Go Team Spidey!,"[""DK Publishing""]",[],"[""https://openlibrary.org/books/OL57570718M.json""]",OL42393248W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42393358W,Little Chunkies : Baby Animals,"[""DK Publishing""]","[""With Adorable Animals to Touch and Discover!""]","[""https://openlibrary.org/books/OL57516333M.json""]",OL42393358W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42422646W,Little Chunkies : Baby Animals,"[""DK Publishing""]","[""With Adorable Animals to Touch and Discover!""]","[""https://openlibrary.org/books/OL57562927M.json""]",OL42393358W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42393776W,Plants,"[""William Anthony""]",[],"[""https://openlibrary.org/books/OL57516914M.json"", ""https://openlibrary.org/books/OL57537378M.json""]",OL42393776W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42563398W,Plants,"[""Sally Morgan""]",[],"[""https://openlibrary.org/books/OL57776318M.json"", ""https://openlibrary.org/books/OL57781263M.json""]",OL42563398W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42393817W,Animals,"[""Rebecca Phillips-Bartlett""]",[],"[""https://openlibrary.org/books/OL57516966M.json""]",OL42393817W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42567211W,Animals,"[""Sally Morgan""]",[],"[""https://openlibrary.org/books/OL57781300M.json""]",OL42567211W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42393841W,Senses,"[""William Anthony""]",[],"[""https://openlibrary.org/books/OL57517003M.json"", ""https://openlibrary.org/books/OL57523299M.json""]",OL42393841W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42556733W,Senses,"[""Angela Royston""]",[],"[""https://openlibrary.org/books/OL57768221M.json"", ""https://openlibrary.org/books/OL57781272M.json""]",OL42556733W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42398125W,Nature,"[""Manon Bucciarelli""]","[""Discover the World's Wonderful Habitats""]","[""https://openlibrary.org/books/OL57522757M.json"", ""https://openlibrary.org/books/OL57572032M.json""]",OL42398125W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42414001W,Nature,"[""Eric Huang"", ""Sam Caldwell""]","[""Fascinating Facts You Never Knew about the Natural World!""]","[""https://openlibrary.org/books/OL57547864M.json"", ""https://openlibrary.org/books/OL57611432M.json""]",OL42414001W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42398469W,India,"[""Samantha S. Bell""]",[],"[""https://openlibrary.org/books/OL57523254M.json""]",OL42398469W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42417170W,India,"[""Andrew Robinson""]","[""A Short History""]","[""https://openlibrary.org/books/OL57553742M.json""]",OL42417170W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42398580W,Lucy and the Lighthouse Fairies,"[""Charis Mather""]",[],"[""https://openlibrary.org/books/OL57523405M.json"", ""https://openlibrary.org/books/OL57542352M.json""]",OL42428329W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42428329W,Lucy and the Lighthouse Fairies,"[""Charis Mather""]",[],"[""https://openlibrary.org/books/OL57570965M.json""]",OL42428329W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42401118W,AI and Data Revolution,"[""Martin de Saulles""]","[""Understanding the New Data Landscape""]","[""https://openlibrary.org/books/OL57527081M.json""]",OL42405205W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42405205W,AI and Data Revolution,"[""Martin De Saulles""]","[""Understanding the New Data Landscape""]","[""https://openlibrary.org/books/OL57533233M.json""]",OL42405205W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42402604W,Penguin Readers Level 4,"[""Dodie Smith""]","[""I Capture the Castle""]","[""https://openlibrary.org/books/OL57529216M.json""]",OL42402604W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42410577W,Penguin Readers Level 4,"[""Jenny Han""]","[""It's Not Summer Without You""]","[""https://openlibrary.org/books/OL57541908M.json""]",OL42410577W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42402841W,Sun,"[""Gemma McMullen""]",[],"[""https://openlibrary.org/books/OL57529581M.json""]",OL42402841W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42425347W,Sun,"[""Matt Lilley""]",[],"[""https://openlibrary.org/books/OL57566595M.json""]",OL42425347W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42402863W,I Like Ants,"[""Charis Mather""]","[""Level 3""]","[""https://openlibrary.org/books/OL57529605M.json"", ""https://openlibrary.org/books/OL57542411M.json""]",OL42425799W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42425799W,I Like Ants,"[""Charis Mather""]","[""Level 3""]","[""https://openlibrary.org/books/OL57567205M.json""]",OL42425799W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42402870W,One-Man Band,"[""Charis Mather""]",[],"[""https://openlibrary.org/books/OL57529617M.json"", ""https://openlibrary.org/books/OL57557369M.json""]",OL42425805W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42425805W,One-Man Band,"[""Charis Mather""]",[],"[""https://openlibrary.org/books/OL57567213M.json""]",OL42425805W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42402917W,5 Facts a Day Science,"[""DK Publishing""]","[""A Little Bit of Learning Every Day""]","[""https://openlibrary.org/books/OL57529692M.json""]",OL42402917W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42427243W,5 Facts a Day Science,"[""DK Publishing""]","[""A Little Bit of Learning Every Day""]","[""https://openlibrary.org/books/OL57569288M.json""]",OL42402917W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42405915W,Adventure,"[""Sébastien Bachelet""]","[""Violent Borders, Illegal Migration and the Uncertain Quest for Life in Morocco"", ""Violent Borders, Illegal Migration, and the Uncertain Quest for Life in Morocco""]","[""https://openlibrary.org/books/OL57534293M.json"", ""https://openlibrary.org/books/OL60829459M.json""]",OL42405915W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42443133W,Adventure,"[""Dean Maynard"", ""William Ricketts""]","[""Book 115""]","[""https://openlibrary.org/books/OL57592309M.json""]",OL42443133W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406613W,DK Super Readers Level 1 Star Wars Princess Leia's Adventures,"[""DK Publishing""]",[],"[""https://openlibrary.org/books/OL57535394M.json""]",OL42406613W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42429273W,DK Super Readers Level 1 Star Wars Princess Leia's Adventures,"[""DK Publishing"", ""Ruth Amos""]",[],"[""https://openlibrary.org/books/OL57572498M.json"", ""https://openlibrary.org/books/OL57572504M.json""]",OL42406613W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42406640W,Penguin Readers Level 5,"[""Ruta Sepetys""]","[""Ashes in the Snow""]","[""https://openlibrary.org/books/OL57535442M.json""]",OL42406640W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406647W,Penguin Readers Level 5,"[""Emily Barr""]","[""This Summer's Secrets""]","[""https://openlibrary.org/books/OL57535455M.json""]",OL42406647W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406861W,Penguin Readers Level 5,"[""Jenny Han""]","[""We'll Always Have Summer""]","[""https://openlibrary.org/books/OL57535820M.json""]",OL42406861W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42416954W,Penguin Readers Level 5,"[""Jojo Moyes""]","[""after You""]","[""https://openlibrary.org/books/OL57553344M.json""]",OL42416954W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406878W,New Orleans Saints,"[""Luke Hanlon""]",[],"[""https://openlibrary.org/books/OL57535847M.json""]",OL42406878W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42560078W,New Orleans Saints,"[""Luke Hanlon""]",[],"[""https://openlibrary.org/books/OL57772180M.json""]",OL42560078W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406891W,Yosemite National Park,"[""Trudy Becker""]",[],"[""https://openlibrary.org/books/OL57535870M.json""]",OL42406891W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42434844W,Yosemite National Park,"[""Daisy Anderson""]",[],"[""https://openlibrary.org/books/OL57579704M.json""]",OL42434844W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406942W,Seattle Seahawks,"[""Brendan Flynn""]",[],"[""https://openlibrary.org/books/OL57535952M.json""]",OL42406942W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42556796W,Seattle Seahawks,"[""Mark Stewart""]",[],"[""https://openlibrary.org/books/OL57768299M.json""]",OL42556796W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406958W,Moon,"[""Gemma McMullen""]",[],"[""https://openlibrary.org/books/OL57535978M.json"", ""https://openlibrary.org/books/OL57571979M.json""]",OL42406958W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42422851W,Moon,"[""Bruce Betts""]","[""Our Nearest Neighbor""]","[""https://openlibrary.org/books/OL57563200M.json"", ""https://openlibrary.org/books/OL57571769M.json""]",OL42422851W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42423829W,Moon,"[""Matt Lilley""]",[],"[""https://openlibrary.org/books/OL57564495M.json""]",OL42423829W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42406970W,Fuzz Bug,"[""Charis Mather""]","[""Level 2B""]","[""https://openlibrary.org/books/OL57535996M.json"", ""https://openlibrary.org/books/OL57548441M.json""]",OL42425815W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42425815W,Fuzz Bug,"[""Charis Mather""]","[""Level 2B""]","[""https://openlibrary.org/books/OL57567231M.json""]",OL42425815W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42407584W,Plant Power,"[""Luigi Fontana""]","[""The Essential Plant Food Guide to Enrich Your Health""]","[""https://openlibrary.org/books/OL57536943M.json""]",OL42407584W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42546175W,Plant Power,"[""Claire Llewellyn"", ""Jo Parry""]","[""The Importance of Plants in Our World""]","[""https://openlibrary.org/books/OL57751496M.json""]",OL42546175W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42422765W,Velociraptor,"[""Laura K. Murray""]",[],"[""https://openlibrary.org/books/OL57563100M.json""]",OL42422765W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42565015W,Velociraptor,"[""Golriz Golkar""]",[],"[""https://openlibrary.org/books/OL57778416M.json"", ""https://openlibrary.org/books/OL60907967M.json""]",OL42565015W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42423760W,Houston Rockets,"[""James Barry""]",[],"[""https://openlibrary.org/books/OL57564394M.json""]",OL42423760W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45150897W,Houston Rockets,"[""Charlie Beattie""]",[],"[""https://openlibrary.org/books/OL61570296M.json""]",OL45150897W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42428773W,Beavers,"[""Quinn M. Arnold""]",[],"[""https://openlibrary.org/books/OL57571701M.json""]",OL42428773W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42428943W,Beavers,"[""Heather E. Schwartz""]","[""Freshwater Engineers""]","[""https://openlibrary.org/books/OL57571985M.json""]",OL42428943W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42429217W,Baboons,"[""Mari Bolte""]",[],"[""https://openlibrary.org/books/OL57572411M.json""]",OL42429217W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45150909W,Baboons,"[""Trudy Becker""]",[],"[""https://openlibrary.org/books/OL61570310M.json""]",OL45150909W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42430823W,Sharks,"[""John Lockyer""]","[""Fluency Boost""]","[""https://openlibrary.org/books/OL57574553M.json""]",OL42430823W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42547983W,Sharks,"[""Alex Hall""]",[],"[""https://openlibrary.org/books/OL57755202M.json""]",OL42547983W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42539495W,Dinosaurs,"[""Abby Doty""]",[],"[""https://openlibrary.org/books/OL57739877M.json"", ""https://openlibrary.org/books/OL57748107M.json""]",,quarantined_label_issue,Dinosaur fossil subject versus source main class 900 is questionable; no replacement label assumed.
OL42556812W,Dinosaurs,"[""Clive Gifford""]",[],"[""https://openlibrary.org/books/OL57768319M.json""]",OL42556812W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL42540112W,Windows into the Medieval Mediterranean,"[""Jeanette M. Fregulia""]",[],"[""https://openlibrary.org/books/OL57740852M.json"", ""https://openlibrary.org/books/OL57743503M.json""]",OL42546384W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42546384W,Windows into the Medieval Mediterranean,"[""Jeanette Fregulia""]",[],"[""https://openlibrary.org/books/OL57751963M.json""]",OL42546384W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42547628W,Diplomatic History of Europe since the Congress of Vienna,"[""René Albrecht-Carrié""]",[],"[""https://openlibrary.org/books/OL57754480M.json""]",OL45911232W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL45911232W,Diplomatic History of Europe since the Congress of Vienna,"[""Ren Albrecht-Carri""]",[],"[""https://openlibrary.org/books/OL62465657M.json""]",OL45911232W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL42564931W,Iguanodon,"[""Angela Lim""]",[],"[""https://openlibrary.org/books/OL57778307M.json"", ""https://openlibrary.org/books/OL61571424M.json""]",OL42564931W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45033610W,Iguanodon,"[""Gail Terp""]",[],"[""https://openlibrary.org/books/OL61433006M.json""]",OL45033610W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL44553832W,"Data Analysis and Related Applications, Volume 5","[""Christos H. Skiadas"", ""Yiannis Dimotikalis""]","[""Models, Methods and Techniques""]","[""https://openlibrary.org/books/OL60841391M.json""]",OL44553835W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL44553835W,"Data Analysis and Related Applications, Volume 5","[""Christos H. Skiadas"", ""Yiannis Dimotikalis""]","[""Models, Methods and Techniques""]","[""https://openlibrary.org/books/OL60841394M.json"", ""https://openlibrary.org/books/OL60861046M.json""]",OL44553835W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL44561161W,Words for Life,"[""Susie Dent""]","[""To Boost Every Day of the Year""]","[""https://openlibrary.org/books/OL60854909M.json""]",OL45148113W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL45148113W,Words for Life,"[""Susie Dent""]","[""To Boost Every Day of the Year""]","[""https://openlibrary.org/books/OL61566566M.json""]",OL45148113W,consolidated_edition_family,Matching author and edition family consolidated for training.
OL44578647W,Turning Points,"[""Russell Shaw""]","[""How Thirteen Remarkable Men and Women Heard God's Call and Responded to It""]","[""https://openlibrary.org/books/OL60887689M.json""]",OL44578647W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45609162W,Turning Points,"[""Edward P. Kohn"", ""Pelin Kohn""]","[""How Historical Events Shape Modern Leadership""]","[""https://openlibrary.org/books/OL62109833M.json"", ""https://openlibrary.org/books/OL62109860M.json""]",OL45609162W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45791022W,Flower Power,"[""Sheila Yazdani""]","[""All about Pollination""]","[""https://openlibrary.org/books/OL62325373M.json""]",OL45791022W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45909884W,Flower Power,"[""Jac Semmler""]","[""Designing Gardens for Year-Round Wonder""]","[""https://openlibrary.org/books/OL62463796M.json""]",OL45909884W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45859692W,The Truth Dancer,"[""L.R. Merriman""]","[""Earth""]","[""https://openlibrary.org/books/OL62405293M.json""]",OL45859692W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
OL45859854W,The Truth Dancer,"[""L.R. Merriman""]","[""Spirit""]","[""https://openlibrary.org/books/OL62405472M.json""]",OL45859854W,retained_distinct_work,"Different authors, subtitles or volumes retained; conservative split grouping prevents identical inputs crossing splits."
